site.names,lon,lat,pre-settlement (sample #),certainty  (3=high),
Mohawk Pond,-73.292685,41.81115,2,3,Range: 2-2.
Tom Swamp,-72.2125,42.516667,2,2,Range: 2-2. Short and low res core.
Upper Wallface Pond,-74.054167,44.146389,2,1,"Range: 1-6. Weak signals, mainly based on slight declines in trees at top."
Aino Pond,-71.926667,42.679722,36,3,Range: 36-40.  Well-sampled core.
Dead Frog Pond,-72.508611,42.574444,16,2,Range: 16-21.  Possibly even lower.  Little blips in Rumex and Ambrosia.
Hemlock Hollow,-72.178,42.5375,27,2,Range: 17-22.
Linsley Pond,-72.784335,41.317115,29,3,Range: 29-33.  Classic double bump.  
Big Reed Pond Hollow,-69.0517,46.35065,5,3,Range: 5.5. Clear Ambrosia.
Blackwoods Hollow,-68.22364,44.313195,4,3,Range: 4-4. Clear Ambrosia signal.
Buckley Pond Hollow,-69.049415,46.334815,7,2,Range: 7-14. A lower blip in Ambrosia.
Isle au Haut North Hollow,-68.6354,44.0651,12,2,Range: 12-18.  A couple of lower blips.
Isle au Haut South Hollow,-68.630365,44.031825,14,2,Range: 10-14.  Tricky.  Could peg to Rumex or Ambrosia.
Roque Island Hollow,-67.530695,44.573075,6,3,Range: 6-6.   
Schoodic Peninsula Hollow,-68.0726,44.37328,8,2,Range: 8-15. Could peg to Ambrosia or Poaceae.
South Bog,-67.20294,44.717555,25,3,Range: 21-25. Beautiful record.
Round Pond,-70.010335,41.97078,16,2,Range: 16-20. Some lower blips.
Deep Pond,-69.992095,41.739125,18,2,Range: 18-23.  A lower blip and gradual decline in Ambrosia
Icehouse Pond,-69.960575,41.797995,20,2,Range: 20-25.  Lower blips
Eagle Pond,-70.13606,41.6982,10,3,Range:10-10. Rumex pretty definitive.
Jemima Pond,-69.9847,41.82961,15,2,Range: 15-20.  Could key into Rumex or Ambrosia.
Sandy Hill Pond,-70.36407,41.689985,9,2,Range: 9-12
Fresh Pond,-70.532835,41.59412,17,2,Range: 17-37.  Lots of little blips below the big rise.
Makepeace Cedar Swamp,-70.75736,41.93619,4,3,Range: 4-4. Low res = high certainty.
Makepeace Cedar Swamp,-70.75736,41.93619,7,2,Range: 4-10. low res and blippy
Makepeace Cedar Swamp,-70.75736,41.93619,n/a,1,a 2-sample core.  probably above settlement horizon
South Dansville Buried Peat,-77.641,42.49185,n/a,1,a 3-sample core.  probably above settlement horizon
Byron-Bergen Swamp (Site 2),-78.002715,43.09816,3,3,Range: 3-4.
Byron-Bergen Swamp (Site 1),-78.014515,43.09791,5,3,Range: 5-?. Long tail to AMbrosia.  possible that settlement horizon is below lowermost sample.
Black Gum Swamp,-72.1829,42.5375,8,2,Range: 2-11
Balsam Lake,-74.604205,42.028785,3,3,Range: 3-3. 
Devil's Bathtub,-77.57376,43.02469,n/a,1,No sign of a settlement horizon here.  Low res short core.
Goose Bay Marsh,-75.87042,44.351135,40,3,Range: 40-43.  Someone went to town on the post-settlement period!
Lily Pond,-72.34693,42.417875,24,1,Range: 12-24.  weird gap in Ambrosia while Rumex stays high.
Prospect Hill II,-72.18,42.5625,15,3,Range: 13-15
Prospect Hill VII,-72.18,42.5625,n/a,1,Pretty sure this core doesn't reach settlement horizon
Slab City,-72.1775,42.508,n/a,1,"Range: 19-?.   I think this core doesn't include settlement horizon, but possibly at sample 19."
Slab City,-72.1775,42.508,19,3,Range: 19-19. Good agreement between Rumex and Ambrosia.
Tannersville Bog,-75.266667,41.033333,24,2,Range: 13-24.
Divers Lake,-78.399245,43.04099,13,3,"Range: 11-13. Good Rumex, Ambrosia signal."
Ballston Lake,-73.85325,42.94975,7,2,Range: 4-8.
Hiscock Site,-78,43,11,1,Range: 11-?. Really ambiguous decline to Ambrosia. Possibly settlement horizon is below core base.
Green Pond,-72.5108,42.56705,35,1,Range: 16-53.  Ambrosia and Rumex just slowly tail away�
Lily Warwick,-72.337185,42.68839,28,1,Range: 17-50. Another long slow decline.  I pegged this one to just before hemlock starts to decline.
Little Mirror Lake,-71.60848,42.524435,36,2,Range: 25-36.
Otter Pond,-72.53319,42.65485,52,2,"Range: 39-?.  Beautiful high res sampling, and a complex decline.  Pegged to Ambrosia going to zero."
Silver Lake,-72.22854,42.600775,24,2,Range: 24-45.  Another big rise then long tail.
Binnewater Pond,-74.551335,41.40935,6,3,Range: 6-8. Pretty clear
Pawelski Farm,-74.43065,41.33395,n/a,1,Pretty sure this core doesn't reach settlement horizon
Piermont Marsh,-73.908375,41.027635,38,2,Range: 38-52.
Lost Swamp,-72.4211,42.82814,13,2,Range: 13-17. Pegging to Rumex
Lake Grinnell,-74.63963,41.098185,3,2,Range: 2-7
Quag Pond,-71.95695,42.56725,23,2,Range: 23-29
Little Bolton,-71.58735,42.4222,35,1,"Range: 35-?.  Really gradual rise, could be placed anywhere, inclduing below core base."
Snake Pond,-72.016405,42.55585,22,2,Range: 17-31
Lake Pleasant,-72.513,42.5604,33,2,Range: 20-?
Round Pond,-72.70505,42.173985,n/a,1,2-sample core.  Discard.
