"target","latin","match"
"Bryophyta.undiff.",NA,NA
"Bryopsida",NA,NA
"Calla.palustris",NA,NA
"Caltha",NA,NA
"Caltha.type",NA,NA
"Campanula",NA,NA
"Campanulaceae",NA,NA
"Cannabaceae",NA,NA
"Cannabaceae.sensu.stricto",NA,NA
"Cannabis.sativa",NA,NA
"Caprifoliaceae",NA,NA
"Caprifoliaceae.sensu.lato",NA,NA
"Caprifoliaceae.sensu.lato.undiff.",NA,NA
"Carex",NA,NA
"Carya","Carya","Hickory"
"Carya.ovata","Carya","Hickory"
"Caryophyllaceae",NA,NA
"Caryophyllaceae.undiff.",NA,NA
"Castanea","Castanea","Chestnut"
"Castanea.dentata","Castanea","Chestnut"
"Ceanothus",NA,NA
"Celtis","Deciduae","Other hardwood"
"Celtis.occidentalis","Deciduae","Other hardwood"
"Cephalanthus",NA,NA
"Cerastium.type",NA,NA
"cf..Arisaema",NA,NA
"cf..Cistaceae",NA,NA
"cf..Dalea",NA,NA
"cf..Elaeagnaceae",NA,NA
"cf..Gentiana",NA,NA
"cf..Hypericum",NA,NA
"cf..Oxalis",NA,NA
"cf..Pedicularis",NA,NA
"cf..Podophyllum",NA,NA
"cf..Primula",NA,NA
"cf..Rubiaceae",NA,NA
"cf..Scheuchzeria.palustris",NA,NA
"cf..Selaginella",NA,NA
"cf..Sphagnum",NA,NA
"cf..Vitis",NA,NA
"cf..Zamia",NA,NA
"Chamaecyparis",NA,NA
"Chamaedaphne",NA,NA
"Cheilanthes",NA,NA
"Chenopodiaceae.sensu.stricto",NA,NA
"Chenopodium.type",NA,NA
"Cistaceae",NA,NA
"Cladium",NA,NA
"Cladium.type",NA,NA
"Clethra",NA,NA
"Comarum.palustre",NA,NA
"Commelinaceae",NA,NA
"Coniferae.undiff.",NA,NA
"Coptis",NA,NA
"Cornus",NA,NA
"Cornus.canadensis",NA,NA
"Cornus.racemosa",NA,NA
"Cornus.sericea",NA,NA
"Cornus.sericea.type",NA,NA
"Cornus.undiff.",NA,NA
"Corylus","Deciduae","Other hardwood"
"Corylus.cornuta","Deciduae","Other hardwood"
"Corylus.Myrica","Deciduae","Other hardwood"
"Cupressaceae",NA,NA
"Cupressaceae.Taxaceae",NA,NA
"Cupressaceae.undiff.",NA,NA
"Cyclachaena.xanthiifolia",NA,NA
"Cyclachaena.xanthiifolia.type",NA,NA
"Cyperaceae",NA,NA
"Cyperaceae.undiff.",NA,NA
"Cystopteris",NA,NA
"Cystopteris.type",NA,NA
"Dalea",NA,NA
"dataset.id",NA,NA
"Decodon.verticillatus",NA,NA
"Dennstaedtia",NA,NA
"Dennstaedtia.type",NA,NA
"depth",NA,NA
"Dicentra",NA,NA
"Dicranum",NA,NA
"Diospyros.type",NA,NA
"Diphasiastrum.complanatum",NA,NA
"Diphasiastrum.complanatum.type",NA,NA
"Drosera",NA,NA
"Dryas",NA,NA
"Dryas.type",NA,NA
"Dryopteris",NA,NA
"Dryopteris.carthusiana.type",NA,NA
"Dryopteris.fragrans.type",NA,NA
"Dryopteris.type",NA,NA
"Elaeagnus",NA,NA
"Elaeagnus.commutata",NA,NA
"Empetrum",NA,NA
"Ephedra",NA,NA
"Epilobium",NA,NA
"Epilobium.type",NA,NA
"Equisetum",NA,NA
"Ericaceae",NA,NA
"Ericaceae.undiff.",NA,NA
"Eriocaulon",NA,NA
"Eriogonum",NA,NA
"Eupatorium.type",NA,NA
"Euphorbiaceae",NA,NA
"Fabaceae",NA,NA
"Fabaceae.undiff.",NA,NA
"Fagaceae",NA,NA
"Fagopyrum",NA,NA
"Fagus","Fagus","Beech"
"Fagus.grandifolia","Fagus","Beech"
"Fraxinus","Fraxinus","Ash"
"Fraxinus.americana","Fraxinus","Ash"
"Fraxinus.nigra","Fraxinus","Ash"
"Fraxinus.nigra.type","Fraxinus","Ash"
"Fraxinus.pennsylvanica","Fraxinus","Ash"
"Fraxinus.pennsylvanica.F..americana.type","Fraxinus","Ash"
"Fraxinus.pennsylvanica.type","Fraxinus","Ash"
"Fraxinus..tetracolpate.","Fraxinus","Ash"
"Fraxinus..tricolpate.","Fraxinus","Ash"
"Fraxinus.undiff.","Fraxinus","Ash"
"Fungi",NA,NA
"Galium",NA,NA
"Galium.type",NA,NA
"Gentiana",NA,NA
"Gentianaceae",NA,NA
"Geranium",NA,NA
"Geum",NA,NA
"Geum.type",NA,NA
"Gleditsia",NA,NA
"Glomus",NA,NA
"Gymnocarpium",NA,NA
"Haloragaceae",NA,NA
"Hamamelidaceae",NA,NA
"Hamamelis",NA,NA
"Hamamelis.virginiana",NA,NA
"Helianthemum",NA,NA
"Helianthus",NA,NA
"Heteranthera",NA,NA
"Hippuris.vulgaris",NA,NA
"Hudsonia",NA,NA
"Humulus",NA,NA
"Humulus.Cannabis",NA,NA
"Humulus.Cannabis.sativa",NA,NA
"Huperzia.lucidula",NA,NA
"Huperzia.selago",NA,NA
"Huperzia.selago.H..lucidula",NA,NA
"Hydrocotyle",NA,NA
"Hypericum",NA,NA
"Ilex",NA,NA
"Ilex.Nemopanthus",NA,NA
"Impatiens",NA,NA
"Impatiens.capensis",NA,NA
"Indeterminable",NA,NA
"Indeterminable.undiff.",NA,NA
"Iris",NA,NA
"Isoëtes",NA,NA
"Iva",NA,NA
"Iva.annua",NA,NA
"Iva.annua.type",NA,NA
"Iva.undiff.",NA,NA
"Juglans","Deciduae","Other hardwood"
"Juglans.cinerea","Deciduae","Other hardwood"
"Juglans.nigra","Deciduae","Other hardwood"
"Juglans.undiff.","Deciduae","Other hardwood"
"Juniperus",NA,NA
"Juniperus.Thuja",NA,NA
"Kalmia",NA,NA
"Lamiaceae",NA,NA
"Lamiaceae.undiff.",NA,NA
"Larix","Larix","Tamarack"
"Larix.laricina","Larix","Tamarack"
"lat",NA,NA
"Lemna",NA,NA
"Liliaceae",NA,NA
"Linnaea.borealis",NA,NA
"Linum",NA,NA
"Liquidambar",NA,NA
"Liquidambar.styraciflua",NA,NA
"Liriodendron",NA,NA
"Liriodendron.tulipifera",NA,NA
"Littorella",NA,NA
"Lobelia.type",NA,NA
"lon",NA,NA
"Lonicera",NA,NA
"Lycopodiaceae",NA,NA
"Lycopodiaceae.undiff.",NA,NA
"Lycopodiella.inundata",NA,NA
"Lycopodium",NA,NA
"Lycopodium.annotinum",NA,NA
"Lycopodium.annotinum.type",NA,NA
"Lycopodium.clavatum",NA,NA
"Lycopodium.obscurum",NA,NA
"Lycopodium.type",NA,NA
"Lycopodium.undiff.",NA,NA
"Lycopus",NA,NA
"Magnolia","Deciduae","Other hardwood"
"Maianthemum",NA,NA
"Matteuccia.struthiopteris",NA,NA
"Melampyrum",NA,NA
"Melampyrum.type",NA,NA
"Menispermum",NA,NA
"Mentha",NA,NA
"Mentha.arvensis",NA,NA
"Menyanthes",NA,NA
"Menyanthes.trifoliata",NA,NA
"Micranthes.cf..M..punctata",NA,NA
"Micranthes.cf..M..stellaris",NA,NA
"Mitchella.repens",NA,NA
"Monotropa",NA,NA
"Moraceae","Deciduae","Other hardwood"
"Moraceae.undiff.","Deciduae","Other hardwood"
"Morus","Deciduae","Other hardwood"
"Myrica",NA,NA
"Myricaceae",NA,NA
"Myrica.Comptonia.peregrina",NA,NA
"Myrica.gale",NA,NA
"Myriophyllum",NA,NA
"Myriophyllum.alterniflorum",NA,NA
"Myriophyllum.sibiricum.type",NA,NA
"Nemopanthus",NA,NA
"Nuphar",NA,NA
"Nymphaea",NA,NA
"Nymphaeaceae",NA,NA
"Nymphaeaceae.undiff.",NA,NA
"Nymphoides",NA,NA
"Nyssa","Deciduae","Other hardwood"
"Oenothera",NA,NA
"Onagraceae",NA,NA
"Onagraceae.undiff.",NA,NA
"Ononis.type",NA,NA
"Ophioglossaceae",NA,NA
"Ophioglossum",NA,NA
"Ophioglossum.type",NA,NA
"Orchidaceae",NA,NA
"Osmunda",NA,NA
"Osmundaceae",NA,NA
"Osmundaceae.undiff.",NA,NA
"Osmunda.regalis.O..claytoniana",NA,NA
"Osmunda.regalis.type",NA,NA
"Osmundastrum.cinnamomeum",NA,NA
"Ostrya","Deciduae","Other hardwood"
"Ostrya.Carpinus","Deciduae","Other hardwood"
"Oxalidaceae",NA,NA
"Oxyria.digyna",NA,NA
"Parnassia",NA,NA
"Parthenocissus",NA,NA
"Pediastrum",NA,NA
"Pedicularis",NA,NA
"Persicaria.amphibia",NA,NA
"Persicaria.lapathifolia",NA,NA
"Persicaria.lapathifolia.type",NA,NA
"Picea","Picea","Spruce"
"Picea.glauca","Picea","Spruce"
"Picea.mariana","Picea","Spruce"
"Picea.mariana.type","Picea","Spruce"
"Picea.undiff.","Picea","Spruce"
"Pinaceae.undiff.",NA,NA
"Pinus","Pinus","Pine"
"Pinus.banksiana.P..resinosa","Pinus","Pine"
"Pinus.strobus","Pinus","Pine"
"Pinus.subg..Pinus","Pinus","Pine"
"Pinus.subg..Pinus.undiff.","Pinus","Pine"
"Pinus.subg..Strobus","Pinus","Pine"
"Pinus.subg..Strobus.undiff.","Pinus","Pine"
"Pinus.undiff.","Pinus","Pine"
"Plantago",NA,NA
"Plantago.lanceolata",NA,NA
"Plantago.lanceolata.type",NA,NA
"Plantago.major",NA,NA
"Plantago.media",NA,NA
"Plantago.rigida.type",NA,NA
"Plantago.undiff.",NA,NA
"Platanus","Deciduae","Other hardwood"
"Platanus.occidentalis","Deciduae","Other hardwood"
"Plumbaginaceae",NA,NA
"Poaceae",NA,NA
"Poaceae..Cerealia.",NA,NA
"Poaceae..Cerealia..undiff.",NA,NA
"Poaceae.undiff.",NA,NA
"Polemoniaceae",NA,NA
"Polemonium",NA,NA
"Polygalaceae",NA,NA
"Polygonaceae",NA,NA
"Polygonaceae.undiff.",NA,NA
"Polygonum",NA,NA
"Polygonum.aviculare.type",NA,NA
"Polygonum.sensu.lato",NA,NA
"Polygonum.sensu.lato.undiff.",NA,NA
"Polypodiaceae",NA,NA
"Polypodiaceae.undiff.",NA,NA
"Polypodiophyta",NA,NA
"Polypodiophyta.undiff.",NA,NA
"Polypodium",NA,NA
"Polypodium.type",NA,NA
"Polypodium.virginianum",NA,NA
"Pontederia",NA,NA
"Pontederiaceae",NA,NA
"Populus","Populus","Poplar"
"Populus.balsamifera.type","Populus","Poplar"
"Populus.tremuloides","Populus","Poplar"
"Populus.tremuloides.type","Populus","Poplar"
"Populus.undiff.","Populus","Poplar"
"Portulacaceae",NA,NA
"Potamogeton",NA,NA
"Potamogetonaceae",NA,NA
"Potamogeton.Triglochin",NA,NA
"Potentilla",NA,NA
"Potentilla.type",NA,NA
"Primulaceae",NA,NA
"Prunella",NA,NA
"Prunus","Deciduae","Other hardwood"
"Prunus.cf..P..serotina","Deciduae","Other hardwood"
"Prunus.Pyrus","Deciduae","Other hardwood"
"Prunus.Sorbus","Deciduae","Other hardwood"
"Prunus.type","Deciduae","Other hardwood"
"Prunus.type.undiff.","Deciduae","Other hardwood"
"Pteridium",NA,NA
"Pteridium.aquilinum",NA,NA
"Pteridium.type",NA,NA
"Pteridophyta.undiff.",NA,NA
"Pterocarya",NA,NA
"Quercus","Quercus","Oak"
"Ranunculaceae",NA,NA
"Ranunculaceae.undiff.",NA,NA
"Ranunculus",NA,NA
"Ranunculus.acris.type",NA,NA
"Ranunculus.flabellaris",NA,NA
"Ranunculus.type.undiff.",NA,NA
"Rhamnaceae","Deciduae","Other hardwood"
"Rhamnaceae.Vitaceae","Deciduae","Other hardwood"
"Rhamnaceae.Vitaceae.undiff.","Deciduae","Other hardwood"
"Rhamnus","Deciduae","Other hardwood"
"Rhamnus.cathartica","Deciduae","Other hardwood"
"Rhamnus.Vitis","Deciduae","Other hardwood"
"Rhododendron",NA,NA
"Rhododendron.subsect..Ledum.Chamaedaphne.calyculata",NA,NA
"Rhus","Deciduae","Other hardwood"
"Rhus.typhina.type","Deciduae","Other hardwood"
"Ribes",NA,NA
"Rosa",NA,NA
"Rosaceae",NA,NA
"Rosaceae.undiff.",NA,NA
"Rubiaceae",NA,NA
"Rubiaceae.undiff.",NA,NA
"Rubus",NA,NA
"Rubus.cf..R..chamaemorus",NA,NA
"Rubus.type",NA,NA
"Rumex",NA,NA
"Rumex.acetosa.type",NA,NA
"Rumex.Oxyria.digyna.undiff.",NA,NA
"Sagittaria",NA,NA
"Salix","Deciduae","Other hardwood"
"Salsola",NA,NA
"Sambucus","Deciduae","Other hardwood"
"Sambucus.racemosa","Deciduae","Other hardwood"
"sample.number",NA,NA
"Sanguisorba",NA,NA
"Sanguisorba.canadensis",NA,NA
"Sapindaceae",NA,NA
"Sarcobatus",NA,NA
"Sarcobatus.vermiculatus",NA,NA
"Sarracenia",NA,NA
"Saxifraga",NA,NA
"Saxifragaceae",NA,NA
"Saxifraga.type",NA,NA
"Saxifraga.undiff.",NA,NA
"Scrophulariaceae",NA,NA
"Secale",NA,NA
"Secale.type",NA,NA
"Selaginella",NA,NA
"Selaginella.selaginoides",NA,NA
"Shepherdia","Deciduae","Other hardwood"
"Shepherdia.argentea","Deciduae","Other hardwood"
"Shepherdia.canadensis","Deciduae","Other hardwood"
"Sisyrinchium",NA,NA
"site.id",NA,NA
"site.name",NA,NA
"Sium",NA,NA
"Smilax",NA,NA
"Solanaceae",NA,NA
"Sparganium",NA,NA
"Sparganium.type",NA,NA
"Spermatophyta.undiff...aquatics.",NA,NA
"Spermatophyta.undiff...shrubs.",NA,NA
"Spermatophyta.undiff...trees.",NA,NA
"Sphagnum",NA,NA
"Spiraea.type",NA,NA
"Sporormiella",NA,NA
"Stachys",NA,NA
"Stachys.type",NA,NA
"Stellaria",NA,NA
"Stellaria.type",NA,NA
"Suaeda",NA,NA
"Taxodium",NA,NA
"Taxus",NA,NA
"Thalictrum",NA,NA
"Thelypteris.palustris",NA,NA
"Thuja",NA,NA
"Tilia","Deciduae","Other hardwood"
"Tilia.americana","Deciduae","Other hardwood"
"Tilletia",NA,NA
"Toxicodendron.radicans",NA,NA
"Tradescantia",NA,NA
"Trifolium",NA,NA
"Trifolium.type",NA,NA
"Triticum",NA,NA
"Tsuga","Tsuga","Hemlock"
"Tsuga.canadensis","Tsuga","Hemlock"
"Typha",NA,NA
"Typha.angustifolia",NA,NA
"Typha.latifolia",NA,NA
"Typha.latifolia.type",NA,NA
"Typha.Sparganium",NA,NA
"Typha.Sparganium.undiff.",NA,NA
"Typha..tetrad.",NA,NA
"Typha.undiff.",NA,NA
"Ulmus","Ulmus","Elm"
"Ulota",NA,NA
"Unknown",NA,NA
"Unknown..alete.",NA,NA
"Unknown.Indeterminable",NA,NA
"Unknown..monolete.",NA,NA
"Unknown..monolete..undiff.",NA,NA
"Unknown.pollen.spore.NISP",NA,NA
"Unknown.spore.NISP",NA,NA
"Unknown..trilete.",NA,NA
"Unknown..trilete..undiff.",NA,NA
"Unknown.undiff.",NA,NA
"Urtica",NA,NA
"Urticaceae",NA,NA
"Urticaceae.Moraceae","Deciduae","Other hardwood"
"Urtica.type",NA,NA
"Utricularia",NA,NA
"Vaccinium",NA,NA
"Valeriana",NA,NA
"Verbena",NA,NA
"Viburnum",NA,NA
"Vicia.type",NA,NA
"Viola",NA,NA
"Violaceae",NA,NA
"Vitaceae",NA,NA
"Vitis",NA,NA
"Vitis.riparia",NA,NA
"Woodsia",NA,NA
"Woodsia.type",NA,NA
"Xanthium",NA,NA
"Xyris",NA,NA
"Zea",NA,NA
"Zea.mays",NA,NA
